"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Uncertainty-Aware Portfolio Management With Risk-Sensitive Multiagent Network","K. Park; H. -G. Jung; T. -S. Eom; S. -W. Lee","Department of Brain and Cognitive Engineering, Korea University, Seoul, South Korea; Department of Brain and Cognitive Engineering, Korea University, Seoul, South Korea; Department of Brain and Cognitive Engineering, Korea University, Seoul, South Korea; Department of Artificial Intelligence, Korea University, Seoul, South Korea",IEEE Transactions on Neural Networks and Learning Systems,"4 Jan 2024","2024","35","1","362","375","As deep neural networks (DNNs) have gained considerable attention in recent years, there have been several cases applying DNNs to portfolio management (PM). Although some researchers have experimentally demonstrated its ability to make a profit, it is still insufficient to use in real situations because existing studies have failed to answer how risky investment decisions are. Furthermore, even though the objective of PM is to maximize returns within a risk tolerance, they overlook the predictive uncertainty of DNNs in the process of risk management. To overcome these limitations, we propose a novel framework called risk-sensitive multiagent network (RSMAN), which includes risk-sensitive agents (RSAs) and a risk adaptive portfolio generator (RAPG). Standard DNNs do not understand the risks of their decision, whereas RSA can take risk-sensitive decisions by estimating market uncertainty and parameter uncertainty. Acting as a trader, this agent is trained via reinforcement learning from dynamic trading simulations to estimate the distribution of reward and via unsupervised learning to assess parameter uncertainty without labeled data. We also present an RAPG that can generate a portfolio fitting the user’s risk appetite without retraining by exploiting the estimated information from the RSAs. We tested our framework on the U.S. and Korean real financial markets to demonstrate the practicality of the RSMAN.","2162-2388","","10.1109/TNNLS.2022.3174642","Institute of Information & Communications Technology Planning & Evaluation (IITP)(grant numbers:2022-0-00984); Development of Artificial Intelligence Technology for Personalized Plug-and-Play Explanation and Verification of Explanation(grant numbers:2019-0-00079); Artificial Intelligence Graduate School Program, Korea University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9779871","Deep learning;financial trading;portfolio management (PM);reinforcement learning (RL);uncertainty quantification","Uncertainty;Portfolios;Investment;Uncertain systems;Task analysis;Training;Q-learning","","2","","71","IEEE","23 May 2022","","","IEEE","IEEE Journals"
"High-Dimensional Multiple Bubbles Prediction Based on Sparse Constraints","H. -G. Zhang; L. Wu","Fudan University, Shanghai, Shanghai, CN; The Center For Economic Research, Shangdong University, Jinan, China",IEEE Access,"2 Apr 2019","2019","7","","38356","38368","Many bubble test methods do not have the ability to predict multiple bubbles in a high dimensional space now. Therefore, we propose a data-driven, self-adaptive evolutionary bubble prediction algorithm named WSADF. First, according to the invariance principle, we speculate that if there are inherent degrees of freedom for high dimensional time series, then comovement causality analysis (CCA) can be improved to select the decisive high dimensional time series that must reflect the prominent comovement causality. The optimization problem of the high dimensional space can be solved in the low dimensional space and maintain the inherent relationships among the time series by using CCA. Second, the learning parameters of hidden neurons have the ability of self-adaptive differential evolution. The neurons in the network are used to model the individuals’ signals from the perspective of evolution. Third, a self-adaptive evolutionary neural network can be used to simulate the operation of the entire market’s signals. The generalized sup augmented Dickey–Fuller test is improved to suit changing market environmental conditions. Thus, the WSADF algorithm has the ability to predict multiple bubbles in high dimensional space. An empirical application of the methodology is conducted on different types of markets (e.g., the USDCNH and CSI300 closing prices), which has successfully identified and forecasted multiple bubbles from 2015 to 2017.","2169-3536","","10.1109/ACCESS.2019.2893929","National High-tech Research and Development Program(grant numbers:2015AA050203); National Social Sciences Fund(grant numbers:15ZDB148); 2017 Special Fund for Informatization Development(grant numbers:201701048); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8640116","Sparse and compressible signals;self-adaptive evolutionary;machine learning;multiple bubbles;GSADF test;high-dimensional space","Time series analysis;Neurons;Biological neural networks;Prediction algorithms;Training data;Adaptation models;Optimization","","1","","22","OAPA","12 Feb 2019","","","IEEE","IEEE Journals"
"GIN: Graph-Based Interaction-Aware Constraint Policy Optimization for Autonomous Driving","S. -W. Yoo; C. Kim; J. Choi; S. -W. Kim; S. -W. Seo","Seoul National University, Seoul, Republic of Korea; Seoul National University, Seoul, Republic of Korea; Seoul National University, Seoul, Republic of Korea; Seoul National University, Seoul, Republic of Korea; Seoul National University, Seoul, Republic of Korea",IEEE Robotics and Automation Letters,"16 Dec 2022","2023","8","2","464","471","Applying reinforcement learning to autonomous driving entails particular challenges, primarily due to dynamically changing traffic flows. To address such challenges, it is necessary to quickly determine response strategies to the changing intentions of surrounding vehicles. This letter proposes a new policy optimization method for safe driving using graph-based interaction-aware constraints. In this framework, the motion prediction and control modules are trained simultaneously while sharing a latent representation that contains a social context. To reflect social interactions, we illustrate the movements of agents in graph form and filter the features with the graph convolution networks. This helps preserve the spatiotemporal locality of adjacent nodes. Furthermore, we create feedback loops to combine these two modules effectively. As a result, this approach encourages the learned controller to be safe from dynamic risks and renders the motion prediction robust to abnormal movements. In the experiment, we set up a navigation scenario comprising various situations with CARLA, an urban driving simulator. The experiments show state-of-the-art performance on navigation strategy and motion prediction compared to the baselines.","2377-3766","","10.1109/LRA.2022.3227862","Challengeable Future Defense Technology Research and Development Program; Agency for Defense Development; Defense Acquisition Program Administration(grant numbers:915034201); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9976203","Integrated planning and learning;reinforcement learning;robot safety","Costs;Vehicle dynamics;Safety;Planning;Dynamics;Spatiotemporal phenomena;Roads","","4","","33","IEEE","8 Dec 2022","","","IEEE","IEEE Journals"
"Multimarket Trading Strategy of a Hydropower Producer Considering Active-Time Duration: A Distributional Regression Approach","A. Khodadadi; M. R. Hesamzadeh; L. Söder","KTH Royal Institute of Technology, Stockholm, Sweden; KTH Royal Institute of Technology, Stockholm, Sweden; KTH Royal Institute of Technology, Stockholm, Sweden",IEEE Systems Journal,"8 Jun 2023","2023","17","2","3343","3353","This article presents a new approach for finding the optimal multimarket trading strategy of cascaded hydropower plants (HPPs) in the sequential electricity markets. These markets are day-ahead energy market, the market for frequency containment reserve in normal mode (FCR-N), and manual frequency restoration reserve markets for both energy production and capacity reserve. The active-time duration (ATD) of an mFRR energy offer is an important required parameter and it is uncertain at the time of day-ahead offer-function submission. Hence, we suggest a distributional regression approach for ATD modeling in an optimal multimarket setup. Also, a modified machine learning approach is proposed to generate price scenarios for the mFRR energy market taking into account uncertain ATD parameters. To illustrate our proposed approach, various numerical experiments are performed. Our numerical results show how proper modeling of ATD parameters can lead to a more realistic multimarket offer-function for cascaded HPPs. Furthermore, the results show how the inclusion of FCR-N and mFRR capacity markets change the optimal day-ahead offer-function.","1937-9234","","10.1109/JSYST.2022.3205142","Energimyndigheten(grant numbers:3161); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9894113","Cascaded hydropower plants (HPPs);distributional regression;electricity market;machine learning","Hydroelectric power generation;Electricity supply industry;Real-time systems;Europe;Deep learning;Production;Predictive models","","","","41","CCBY","16 Sep 2022","","","IEEE","IEEE Journals"
"Using Fuzzy Inference Systems for the Creation of Forex Market Predictive Models","A. Hernandez-Aguila; M. García-Valdez; J. -J. Merelo-Guervós; M. Castañón-Puga; O. C. López","Department of Graduate Studies, National Technological Institute of Mexico, Tijuana, Mexico; Department of Graduate Studies, National Technological Institute of Mexico, Tijuana, Mexico; Department of Computer Architecture and Technology, University of Granada, Granada, Spain; Chemistry and Engineering School, Autonomous University of Baja California, Tijuana, Mexico; Department of Graduate Studies, National Technological Institute of Mexico, Tijuana, Mexico",IEEE Access,"13 May 2021","2021","9","","69391","69404","This paper presents a method for creating Forex market predictive models using multi-agent and fuzzy systems, which have the objective of simulating the interactions that provoke changes in the price. Agents in the system represent traders performing buy and sell orders in a market, and fuzzy systems are used to model the rules followed by traders performing trades in a live market and intuitionistic fuzzy logic to model their decisions' indeterminacy. We use functions to restrict the agents' decisions, which make the agents become specialized at particular market conditions. These “specialization” functions use the grades of membership obtained from an agent's fuzzy system and thresholds obtained from training data sets, to determine if that agent is specialized enough to handle a market's current conditions. We have performed experiments and compared against the state of the art. Results demonstrate that our method obtains predictive errors (using mean absolute error) that are in the same order of magnitude than those errors obtained by models generated using deep learning and models generated by random forest, AdaBoost, XGBoost, and support-vector machines. Furthermore, we performed experiments that show that identifying specialized agents yields better results.","2169-3536","","10.1109/ACCESS.2021.3077910","Project DeepBio(grant numbers:TIN2017-85727-C4-2-P); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9424586","Economic forecasting;fuzzy systems;multi-agent system;forex market","Fuzzy sets;Fuzzy logic;Predictive models;Fuzzy systems;Hidden Markov models;Biological system modeling;Shape","","16","","56","CCBY","6 May 2021","","","IEEE","IEEE Journals"
"Efficient Deep Q-Learning for Industrial Equipment Calibration in Elevator Manufacturing","A. Evangelidis; N. Dimitriou; P. Charalampous; T. D. Mastos; D. Tzovaras","Information Technologies Institute, Centre for Research and Technology Hellas (CERTH-ITI), Thessaloniki, Greece; Information Technologies Institute, Centre for Research and Technology Hellas (CERTH-ITI), Thessaloniki, Greece; Information Technologies Institute, Centre for Research and Technology Hellas (CERTH-ITI), Thessaloniki, Greece; KLEEMANN HELLAS SA, Kilkis, Greece; Information Technologies Institute, Centre for Research and Technology Hellas (CERTH-ITI), Thessaloniki, Greece",IEEE Transactions on Industrial Informatics,"7 Oct 2024","2024","20","10","12220","12230","Industrial equipment calibration is an essential element for the proper functioning of any production plant. Without frequent and proper calibration, the quality and efficiency of the overall production process are threatened. Despite its significance, it is often performed manually based on qualitative measures that may lead to suboptimal behavior. In this article, we propose a deep reinforcement learning (RL)-based methodology to automate the calibration process and evaluate it in an elevator control use case. Moreover, to overcome data scarcity we develop a simulation environment based on generative modeling that creates synthetic RL episodes. The proposed methodology relies on a minimal set of sensors and actuators, i.e., a webcam, an Arduino board, three stepper motors, and an edge computational unit. Nevertheless, experimental evaluations indicate that it can perform in real-time applications achieving accurate calibration results.","1941-0050","","10.1109/TII.2024.3417254","European Commission; European Union H2020 programme(grant numbers:958264); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10584081","Automatic calibration;deep Q-learning;parameter estimation;reinforcement learning (RL)","Calibration;Elevators;Webcams;Motors;Soft sensors;Q-learning;Feature extraction","","","","27","CCBY","3 Jul 2024","","","IEEE","IEEE Journals"
"Attention-Based Neural Bag-of-Features Learning for Sequence Data","D. T. Tran; N. Passalis; A. Tefas; M. Gabbouj; A. Iosifidis","Department of Computing Sciences, Tampere University, Tampere, Finland; Department of Informatics, Aristotle University of Thessaloniki, Thessaloniki, Greece; Department of Informatics, Aristotle University of Thessaloniki, Thessaloniki, Greece; Department of Computing Sciences, Tampere University, Tampere, Finland; Department of Electrical and Computer Engineering, Aarhus University, Aarhus, Denmark",IEEE Access,"3 May 2022","2022","10","","45542","45552","In this paper, we propose 2D-Attention (2DA), a generic attention formulation for sequence data, which acts as a complementary computation block that can detect and focus on relevant sources of information for the given learning objective. The proposed attention module is incorporated into the recently proposed Neural Bag of Feature (NBoF) model to enhance its learning capacity. Since 2DA acts as a plug-in layer, injecting it into different computation stages of the NBoF model results in different 2DA-NBoF architectures, each of which possesses a unique interpretation. We conducted extensive experiments in financial forecasting, audio analysis as well as medical diagnosis problems to benchmark the proposed formulations in comparison with existing methods, including the widely used Gated Recurrent Units. Our empirical analysis shows that the proposed attention formulations can not only improve performances of NBoF models but also make them resilient to noisy data.","2169-3536","","10.1109/ACCESS.2022.3169776","European Union’s Horizon 2020 Research and Innovation Program(grant numbers:871449 (OpenDR)); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9762322","Attention mechanism;neural bag-of-features;time-series analysis","Data models;Quantization (signal);Neural networks;Feature extraction;Histograms;Hidden Markov models;Visualization","","4","","34","CCBY","22 Apr 2022","","","IEEE","IEEE Journals"
"A New Framework for Fraud Detection in Bitcoin Transactions Through Ensemble Stacking Model in Smart Cities","N. Nayyer; N. Javaid; M. Akbar; A. Aldegheishem; N. Alrajeh; M. Jamil","Department of Computer Science, COMSATS University Islamabad, Islamabad, Pakistan; Department of Computer Science, COMSATS University Islamabad, Islamabad, Pakistan; Department of Computer Science, COMSATS University Islamabad, Islamabad, Pakistan; Department of Urban Planning, College of Architecture and Planning, King Saud University, Riyadh, Saudi Arabia; Department of Biomedical Technology, College of Applied Medical Sciences, King Saud University, Riyadh, Saudi Arabia; Department of Electrical and Computer Engineering, Memorial University of Newfoundland, St. John’s, Canada",IEEE Access,"31 Aug 2023","2023","11","","90916","90938","Bitcoin has a reputation of being used for unlawful activities, such as money laundering, dark web transactions, and payments for ransomware in the context of smart cities. Blockchain technology prevents illegal transactions, but cannot detect these transactions. Anomaly detection is a fundamental technique for recognizing potential fraud. The heuristic and signature-based approaches were the foundation of earlier detection techniques, but tragically, these methods were insufficient to explore the entire complexity of anomaly detection. Machine Learning (ML) is a promising approach to anomaly detection, as it can be trained on large datasets of known malware samples to identify patterns and features of the transactions. Researchers are focusing on determining an efficient fraud and security threat detection model that overcomes the drawbacks of the existing methods. Therefore, ensemble learning can be applied to anomaly detection in Bitcoin by combining multiple ML classifiers. In the proposed model, the ADASYN-TL (Adaptive Synthetic + Tomek Link) balancing technique is used for data balancing. Random search, grid search and Bayesian optimization are used for hyperparameter tuning. The hyperparameters have a great impact on the performance of the model. For classification, we used the stacking model by combining Decision Tree, Naive Bayes, K-Nearest Neighbors, and Random Forest. We used SHapley Additive exPlanation (SHAP) to interpret the predictions of the stacking model. The model also explores the performance of different classifiers using accuracy, F1-score, Area Under Curve-Receiver Operating Characteristic (AUC-ROC), precision, recall, False Positive Rate (FPR) and execution time, and ultimately selects the ideal model. The proposed model contributes to the development of effective fraud detection models that address the limitations of the existing algorithms. Our stacking model, which combines the prediction of multiple classifiers, achieved the highest F1-score of 97%, precision of 96%, recall of 98%, accuracy of 97%, AUC-ROC of 99% and FPR of 3%.","2169-3536","","10.1109/ACCESS.2023.3308298","King Saud University, Riyadh, Saudi Arabia, through the Researchers Supporting Project(grant numbers:RSPD2023R295); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10229136","Bitcoin transaction;hyperparameter tuning;machine learning;ransomware attack;stacking model;smart cities","Bitcoin;Ransomware;Fraud;Blockchains;Anomaly detection;Feature extraction;Stacking;Parameter estimation;Smart cities","","7","","55","CCBYNCND","24 Aug 2023","","","IEEE","IEEE Journals"
"Examining the Forecasting Movement of Palm Oil Price Using RBFNN-2SATRA Metaheuristic Algorithms for Logic Mining","S. A. Saeed Alzaeemi; S. Sathasivam","School of Mathematical Sciences, Universiti Sains Malaysia (USM), Penang, Malaysia; School of Mathematical Sciences, Universiti Sains Malaysia (USM), Penang, Malaysia",IEEE Access,"9 Feb 2021","2021","9","","22542","22557","RBFNN with different algorithms and the logic mining method for forecasting constitute the most significant tools and techniques, which are used to demonstrate the economic growth in the country. Upon using monthly data spanning from Jan 2016 to March 2020 for the manufacturing of palm oil, the results mainly revealed that RBFNN-2SATRAAIS is the most accurate and efficient model compared to RBFNN-2SATRAPSO and RBFNN-2SATRAGA in forecasting the price of palm oil. RBFNN-2SATRAAIS had the highest average overall accuracy (90.476190%), followed by RBFNN-2SATRAPSO (85.71%), and RBFNN-2SATRAGA (76.19%). The results also showed that the spot price of palm oil is highly influenced by the total exports and imports, as well as the production of palm oil, its end-stocks, and Malaysia’s real, effective exchange rate. By using the data mining technique based on the energy minimization technique, the logical mining task was carried out. The empirical findings provided useful insights into decision-making and policy implementations, including the formulation of strategies to help the industry in dealing with constant price fluctuations and, thereby, enabling the Malaysian palm oil industry to continue its domination over the international market.","2169-3536","","10.1109/ACCESS.2021.3054816","Fundamental Research Grant Scheme (FRGS)(grant numbers:203/PMATHS/6711689); Ministry of Higher Education Malaysia; Universiti Sains Malaysia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9335921","Palm oil prices;economic growth;forecasting;artificial immune system;particle swarm optimization;genetic algorithm;radial basis functions neural network;2 satisfiability;2 satisfiability reverse;Analysis;logic mining","Oils;Data mining;Forecasting;Prediction algorithms;Petroleum industry;Neurons;Genetic algorithms","","18","","46","CCBYNCND","26 Jan 2021","","","IEEE","IEEE Journals"
"A comparison of nonlinear methods for predicting earnings surprises and returns","V. Dhar; D. Chou","Department of Information Systems, Stern School of Business, New York University, New York, NY, USA; Department of Information Systems, Stern School of Business, New York University, New York, NY, USA",IEEE Transactions on Neural Networks,"7 Aug 2002","2001","12","4","907","921","We compare four nonlinear methods on their ability to learn models from data. The problem requires predicting whether a company will deliver an earnings surprise a specific number of days prior to announcement. This problem has been well studied in the literature using linear models. A basic question is whether machine learning-based nonlinear models such as tree induction algorithms, neural networks, naive Bayesian learning, and genetic algorithms perform better in terms of predictive accuracy and in uncovering interesting relationships among problem variables. Equally importantly, if these alternative approaches perform better, why? And how do they stack up relative to each other? The answers to these questions are significant for predictive modeling in the financial arena, and in general for problem domains characterized by significant nonlinearities. In this paper, we compare the four above-mentioned nonlinear methods along a number of criteria. The genetic algorithm turns out to have some advantages in finding multiple ""small disjunct"" patterns that can be accurate and collectively capable of making predictions more often than its competitors. We use some of the nonlinearities we discovered about the problem domain to explain these results.","1941-0093","","10.1109/72.935099","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=935099","","Predictive models;Genetic algorithms;IEEE news;Machine learning;Accuracy;Investments;Finance;Learning systems;Machine learning algorithms;Neural networks","","31","","73","IEEE","7 Aug 2002","","","IEEE","IEEE Journals"
"Dynamic Calibration Based on the Black-Scholes Option Pricing Model by Bayesian Method","N. M. Mulenga; Y. Fu","College of Mathematics and Systems Science, Shandong University of Science and Technology, Qingdao, China; College of Mathematics and Systems Science, Shandong University of Science and Technology, Qingdao, China",IEEE Access,"2 Sep 2024","2024","12","","119314","119326","To improve the shortcomings of the classic Black-Scholes model, mainly on the constant volatility and normal distribution assumptions, this paper investigates the dynamic calibration method, which makes the expected return rate, volatility and interest rate become data-driven and time dependent. Based on the dynamic procedure, four distinct calibration models are proposed by using Bayesian method, among which Model I and Model II are used for comparison, Model III simultaneously uses the data of underlying asset, put and call options by introducing the bivariate normal distribution, and Model IV simplifies Model III by employing the put-call parity. The results of numerical experiments and empirical analysis illustrate that Model III is the most accurate but time consuming, while Model IV is the most efficient. Dynamic calibration method is also verified to be much more accurate in data fitting and option pricing than the commonly used global calibration. Overall, the dynamically calibrated Black-Scholes model can be regarded as an improvement on the classic Black-Scholes model, where model coefficients are functions of time. As a result, leptokurtic and negative skew distribution of log returns is regenerated, which makes the model more consistent with the data observed in real markets without an increase of the complexity.","2169-3536","","10.1109/ACCESS.2024.3450602","National Natural Science Foundations of China(grant numbers:11701335); Natural Science Foundation of Shandong Province(grant numbers:ZR2017BA016); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10649550","Bayesian method;dynamic calibration;Black-Scholes model;Markov Chain Monte Carlo;volatility surface;leptokurtosis","Calibration;Data models;Pricing;Mathematical models;Computational modeling;Bayes methods;Solid modeling;Markov processes;Monte Carlo methods","","","","41","CCBYNCND","27 Aug 2024","","","IEEE","IEEE Journals"
"Annotators’ Selection Impact on the Creation of a Sentiment Corpus for the Cryptocurrency Financial Domain","M. F. A. Gadi; M. Á. Sicilia","Department of Computer Science, University of Alcalá de Henares, Alcalá de Henares, Spain; Department of Computer Science, University of Alcalá de Henares, Alcalá de Henares, Spain",IEEE Access,"28 Nov 2023","2023","11","","131081","131088","Well labeled natural language corpus data is essential for most natural language processing techniques, especially in specialized fields. However, cohort biases remain a significant challenge in machine learning. The narrow origin of data sampling or human annotators in cohorts is a prevalent issue for machine learning researchers due to its potential to induce bias in the final product. During the development of the CryptoLin corpus for another research project, the authors became concerned about the potential influence of cohort bias on the selection of annotators. Therefore, this paper addresses the question of whether cohort diversity improves the labeling result through the implementation of a repeated annotator process, involving two annotator cohorts and a statistically robust comparison methodology. The utilization of statistical tests, such as the Chi-Square Independence test for absolute frequency tables, and the construction of confidence intervals for Kappa point estimates, facilitates a rigorous analysis of the differences between Kappa estimates. Furthermore, the application of a two-proportion z-test to compare the accuracy scores of UTAD and IE annotators for various pre-trained models, including Vader Sentiment Analysis, TextBlob Sentiment Analysis, Flair NLP library, and FinBERT Financial Sentiment Analysis with BERT, contributes to the advancement of knowledge in this field. The paper utilizes Cryptocurrency Linguo (CryptoLin), a corpus containing 2683 cryptocurrency-related news articles spanning more than three years, and compares two different selection criteria for the annotators. CryptoLin was annotated twice with discrete values representing negative, neutral, and positive news respectively. The first annotation was done by twenty-seven annotators from the same cohort. Each news title was randomly assigned and blindly annotated by three human annotators. The second annotation was carried out by eighty-three annotators from three cohorts. Each news title was randomly assigned and blindly annotated by three human annotators, one in each different cohort. In both annotations, a consensus mechanism using simple voting was applied. The first annotation used the same cohort with students from the same nationality and background. The second used three cohorts with students from a very diverse set of nationalities and educational backgrounds. The results demonstrate that manual labeling done by both groups was acceptable according to inter-rater reliability coefficients Fleiss’s Kappa, Krippendorff’s Alpha, and Gwet’s AC1. Preliminary analysis utilizing Vader, Textblob, Flair, and FinBERT confirmed the utility of the data set labeling for further refinement of sentiment analysis algorithms. Our results also highlight that the more diverse annotator pool performed better in all measured aspects.","2169-3536","","10.1109/ACCESS.2023.3334260","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10322757","Annotation;annotator selection criteria;cryptocurrency;news event;labeled data set;NLP;news sentiment corpus","Annotations;Cryptocurrency;Machine learning;Labeling;Finance;Sentiment analysis;Task analysis;Finance;Bit error rate","","","","31","CCBYNCND","17 Nov 2023","","","IEEE","IEEE Journals"
"Unified Low-Rank Matrix Estimate via Penalized Matrix Least Squares Approximation","X. Chang; Y. Zhong; Y. Wang; S. Lin","Center of Data Science and Information Quality, School of Management, Xi’an Jiaotong University, Xi’an, China; Department of Statistics, Texas A&M University, College Station, TX, USA; State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China; State Key Laboratory of Robotics, Shenyang Institute of Automation, Chinese Academy of Sciences, Shenyang, China",IEEE Transactions on Neural Networks and Learning Systems,"22 Jan 2019","2019","30","2","474","485","Low-rank matrix estimation arises in a number of statistical and machine learning tasks. In particular, the coefficient matrix is considered to have a low-rank structure in multivariate linear regression and multivariate quantile regression. In this paper, we propose a method called penalized matrix least squares approximation (PMLSA) toward a unified yet simple low-rank matrix estimate. Specifically, PMLSA can transform many different types of low-rank matrix estimation problems into their asymptotically equivalent least-squares forms, which can be efficiently solved by a popular matrix fast iterative shrinkage-thresholding algorithm. Furthermore, we derive analytic degrees of freedom for PMLSA, with which a Bayesian information criterion (BIC)-type criterion is developed to select the tuning parameters. The estimated rank based on the BIC-type criterion is verified to be asymptotically consistent with the true rank under mild conditions. Extensive experimental studies are performed to confirm our assertion.","2162-2388","","10.1109/TNNLS.2018.2844242","National Natural Science Foundation of China(grant numbers:11771012,11501440,61502342,91546119); Major Program of National Natural Science Foundation of China(grant numbers:71731009,71742005); China Postdoctoral Science Foundation(grant numbers:2017M610628); Key Research Program of Hunan Province, China(grant numbers:2017GK2273); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8401536","Degrees of freedom;low-rank matrix estimate;multivariate linear regression;multivariate quantile regression (QR)","Tuning;Learning systems;Estimation;Computational modeling;Task analysis;Robustness;Least squares approximation","","11","","50","IEEE","2 Jul 2018","","","IEEE","IEEE Journals"
"CrowdFAB: Intelligent Crowd-Forecasting Using Blockchains and its Use in Security","T. Salman; A. Ghubaish; R. D. Pietro; M. Baza; H. Alshahrani; R. Jain; K. -K. R. Choo","Department of Computer Science, Texas Tech University, Lubbock, TX, USA; Washington University in Saint Louis, St. Louis, MO, USA; Division of Information and Computer Technology (ICT), College of Science and Engineering (CSE), Hamad Bin Khalifa University (HBKU), Doha, Qatar; Department of Computer Science, College of Charleston, SC, USA; Department of Computer Science, College of Computer Science and Information Systems, Najran University, Najran, TX, Saudi Arabia; Washington University in Saint Louis, St. Louis, MO, USA; Department of Information Systems and Cyber Security, University of Texas at San Antonio, San Antonio, TX, USA",IEEE Transactions on Dependable and Secure Computing,"10 Jul 2024","2024","21","4","3030","3047","Crowdsourcing applications, such as Uber for ride-sharing, enable distributed problem-solving. A subset of these applications is intelligent crowd-forecasting applications, e.g., Virustotal, for malware detection. In crowd-forecasting applications, multiple agents respond with predictions about potential future event outcome(s). These responses are then combined to assess the events collaboratively and act accordingly. Unlike conventional crowdsourcing applications that only communicate information, crowd-forecasting applications need to additionally process information to achieve a collaborative assessment. Hence, they require knowledge-based systems instead of simple storage-based ones for crowdsourcing applications. Most existing crowd-forecasting systems are centralized, leading to the inherent single point of failure and inefficient collaborative assessment. This paper presents CrowdFAB, Crowdsourced Forecasting Applications using Blockchains. We deploy a knowledge-based blockchain paradigm that transforms blockchains from simple storage to knowledge-based systems, thereby achieving crowd-forecasting requirements without centralization. In addition, we formulate a novel reputation scheme that assigns reputations to agents based on their performance. We then use this scheme when making assessments. We implement and analyze CrowdFAB in terms of overhead and security features. Further, we evaluate CrowdFAB for a collaborative malware detection use case, where multiple detectors are involved for crowd forecasting. Results demonstrate CrowdFAB's superior accuracy and other metrics performance compared to other works with the same settings.","1941-0018","","10.1109/TDSC.2023.3322038","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10271718","Blockchains;crowdsourcing;malware detection;security assessment","Blockchains;Security;Knowledge based systems;Forecasting;Crowdsourcing;Smart contracts;Probabilistic logic","","","","80","IEEE","4 Oct 2023","","","IEEE","IEEE Journals"
"Crop Prediction Based on Characteristics of the Agricultural Environment Using Various Feature Selection Techniques and Classifiers","S. P. Raja; B. Sawicka; Z. Stamenkovic; G. Mariammal","School of Computer Science and Engineering, Vellore Institute of Technology, Vellore, Tamil Nadu, India; Department of Plant Production Technology and Commodities Science, University of Life Sciences in Lublin, Lublin, Poland; IHP—Leibniz-Institut für innovative Mikroelektronik, Frankfurt (Oder), Germany; Department of Computer Science and Engineering, Kalasalingam Academy of Research and Education, Tamil Nadu, India",IEEE Access,"7 Mar 2022","2022","10","","23625","23641","Agriculture is a growing field of research. In particular, crop prediction in agriculture is critical and is chiefly contingent upon soil and environment conditions, including rainfall, humidity, and temperature. In the past, farmers were able to decide on the crop to be cultivated, monitor its growth, and determine when it could be harvested. Today, however, rapid changes in environmental conditions have made it difficult for the farming community to continue to do so. Consequently, in recent years, machine learning techniques have taken over the task of prediction, and this work has used several of these to determine crop yield. To ensure that a given machine learning (ML) model works at a high level of precision, it is imperative to employ efficient feature selection methods to preprocess the raw data into an easily computable Machine Learning friendly dataset. To reduce redundancies and make the ML model more accurate, only data features that have a significant degree of relevance in determining the final output of the model must be employed. Thus, optimal feature selection arises to ensure that only the most relevant features are accepted as a part of the model. Conglomerating every single feature from raw data without checking for their role in the process of making the model will unnecessarily complicate our model. Furthermore, additional features which contribute little to the ML model will increase its time and space complexity and affect the accuracy of the model’s output. The results depict that an ensemble technique offers better prediction accuracy than the existing classification technique.","2169-3536","","10.1109/ACCESS.2022.3154350","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9721191","Agriculture;classification;crop prediction;feature selection","Crops;Zigbee;Monitoring;Soil;Temperature sensors;Security;Data models","","57","","40","CCBY","24 Feb 2022","","","IEEE","IEEE Journals"
