"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Zhang P.; Yang J.; Zhu H.; Hou Y.; Liu Y.; Zhou C.","Zhang, Ping (56604468400); Yang, Jiayao (57274909100); Zhu, Hao (57274909200); Hou, Yuejie (57271966100); Liu, Yi (57211588158); Zhou, Chichun (55490540700)","56604468400; 57274909100; 57274909200; 57271966100; 57211588158; 55490540700","Failure in Stock Price Prediction: A Comparison between the Curve-Shape-Feature and Non-Curve-Shape-Feature Modes of Existing Machine Learning Algorithms","2021","International Journal of Computers, Communications and Control","16","6","4549","","","","1","10.15837/IJCCC.2021.6.4549","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125373660&doi=10.15837%2fIJCCC.2021.6.4549&partnerID=40&md5=75a99ba175355b38b4da2a6a112b9953","In the era of artificial intelligence, machine learning methods are successfully used in various fields. Machine learning has attracted extensive attention from investors in the financial market, especially in stock price prediction. However, one argument for the machine learning methods used in stock price prediction is that they are black-box models which are difficult to interpret. In this paper, we focus on the future stock price prediction with the historical stock price by machine learning and deep learning methods, such as support vector machine (SVM), random forest (RF), Bayesian classifier (BC), decision tree (DT), multilayer perceptron (MLP), convolutional neural network (CNN), bi-directional long-short term memory (BiLSTM), the embedded CNN, and the embedded BiLSTM. Firstly, we manually design several financial time series where the future price correlates with the historical stock prices in pre-designed modes, namely the curve-shape-feature (CSF) and the non-curve-shape-feature (NCSF) modes. In the CSF mode, the future prices can be extracted from the curve shapes of the historical stock prices. Conversely, in the NCSF mode, they can’t. Secondly, we apply various algorithms to those pre-designed and real financial time series. We find that the existing machine learning and deep learning algorithms fail in stock price prediction because in the real financial time series, less information of future prices is contained in the CSF mode, and perhaps more information is contained in the NCSF. Various machine learning and deep learning algorithms are good at handling the CSF in historical data, which are successfully applied in image recognition and natural language processing. However, they are inappropriate for stock price prediction on account of the NCSF. Therefore, accurate stock price prediction is the key to successful investment, and new machine learning algorithms handling the NCSF series are needed. © 2021. by the authors.","Deep learning method; Financial time series; Machine learning method; Stock price prediction","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85125373660"
"Ahmed T.; Srivastava A.","Ahmed, Tanveer (57213239734); Srivastava, Abhishek (55506401800)","57213239734; 55506401800","Combining humans and machines for the future: A novel procedure to predict human interest","2019","Future Generation Computer Systems","96","","","713","730","17","1","10.1016/j.future.2018.01.043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042366370&doi=10.1016%2fj.future.2018.01.043&partnerID=40&md5=998cd78b7ea81740f8aab49de637f280","This paper proposes a method to quantify interest. In common terminology, when we engage with an object, e.g. Online Games, Social Networking Websites, Mobile Apps, etc., there is a degree of interest between us and the object. But, owing to the lack of a procedure that can quantify interest, we are unable to tell by how ‘much’ of a factor are we interested in the object. In other words, can we find a number for someone's interest? In this article, we propose a method that uses the principle of Bayesian Inference to tackle this issue. We formulate the “interest estimation problem” as a state estimation problem to deduce interest (in any object) indirectly from user activity. Activity caused by interest is computed through a subjective–objectiveweighted approach, then using indirect inference rules, we provide numerical estimates of interest. To do that, we model the dynamics of interest through the Ornstein–Uhlenbeck process. To further enhance the base performance, we draw inspiration from Stochastic Volatility models from Finance. Subsequently, drawing upon a self-adapting transfer function, we provide an avant-garde statistical procedure to model the transformation of interest into activity. The individual contributions are then combined and a solution is provided via Particle filters. Validation of the method is done in two ways. (1) Experimentation is performed on real datasets. Through numerical investigation we have found that the method shows good performance. (2) We implement the framework as a Web application and deploy it on an Enterprise Service Bus. The framework has been successfully hosted on a Cloud based Virtualized testbed consisting of several Virtual Machines constructed over XENServer as the underlying hypervisor. Through this experimental setup, we show the efficacy of the proposed algorithm in estimating interest, at much the same time, we demonstrate the viability of the method in practical cloud based deployment scenarios. © 2018 Elsevier B.V.","Data analytics; Human machine systems; Interest modeling; Machine learning; Ornstein–Uhlenbeck process; Stochastic volatility models","Bayesian networks; Economic analysis; Inference engines; Learning systems; Man machine systems; Numerical methods; Stochastic systems; Telecommunication services; Bayesian inference; Data analytics; Degree of interests; Deployment scenarios; Enterprise service bus; Numerical investigations; Ornstein-Uhlenbeck process; Stochastic Volatility Model; Stochastic models","Article","Final","","Scopus","2-s2.0-85042366370"
"Ding G.; Qin L.","Ding, Guangyu (57212174174); Qin, Liangxi (8357520300)","57212174174; 8357520300","Study on the prediction of stock price based on the associated network model of LSTM","2020","International Journal of Machine Learning and Cybernetics","11","6","","1307","1317","10","165","10.1007/s13042-019-01041-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076093849&doi=10.1007%2fs13042-019-01041-1&partnerID=40&md5=3d51a1ecdd6a471e127f65e16bf55fa9","Stock market has received widespread attention from investors. It has always been a hot spot for investors and investment companies to grasp the change regularity of the stock market and predict its trend. Currently, there are many methods for stock price prediction. The prediction methods can be roughly divided into two categories: statistical methods and artificial intelligence methods. Statistical methods include logistic regression model, ARCH model, etc. Artificial intelligence methods include multi-layer perceptron, convolutional neural network, naive Bayes network, back propagation network, single-layer LSTM, support vector machine, recurrent neural network, etc. But these studies predict only one single value. In order to predict multiple values in one model, it need to design a model which can handle multiple inputs and produces multiple associated output values at the same time. For this purpose, it is proposed an associated deep recurrent neural network model with multiple inputs and multiple outputs based on long short-term memory network. The associated network model can predict the opening price, the lowest price and the highest price of a stock simultaneously. The associated network model was compared with LSTM network model and deep recurrent neural network model. The experiments show that the accuracy of the associated model is superior to the other two models in predicting multiple values at the same time, and its prediction accuracy is over 95%. © 2019, The Author(s).","Associated network; Deep learning; Deep recurrent neural network; Long short-term memory (LSTM); Machine learning","Backpropagation; Bayesian networks; Brain; Commerce; Deep learning; Deep neural networks; Electronic trading; Financial markets; Forecasting; Investments; Learning systems; Multilayer neural networks; Network layers; Regression analysis; Support vector machines; Artificial intelligence methods; Backpropagation network; Convolutional neural network; Logistic Regression modeling; Multi layer perceptron; Multiple inputs and multiple outputs; Recurrent neural network model; Stock price prediction; Long short-term memory","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85076093849"
"Deng M.; Aminzadeh M.S.","Deng, M. (57201033786); Aminzadeh, M.S. (6603735928)","57201033786; 6603735928","Bayesian predictive analysis for Weibull-Pareto composite model with an application to insurance data","2022","Communications in Statistics: Simulation and Computation","51","5","","2683","2709","26","2","10.1080/03610918.2019.1699572","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076405405&doi=10.1080%2f03610918.2019.1699572&partnerID=40&md5=259ab7e1a82b02686f25692968e1570e","Aminzadeh and Deng, respectively provide Bayesian predictive models for Exponential-Pareto and Inverse Gamma-Pareto composite distributions which are one-parameter models. The purpose of this article is to develop an alternative Bayesian predictive model (two-parameter) which can be used to compute important risk measures that are not defined via the above predictive models. Bayesian predictive density for the Weibull-Pareto composite distribution is developed and is used to compute risk measures such as Value at Risk (VaR), Conditional Tail Expectation (CTE), Predictive Expectation (PE), Limited Predictive Expected value (LPE), Limited Predictive Variance (LPV), and Limited Predictive Tail-VaR (LPCTE). Accuracy of parameter estimates as well as the risk measures are assessed via simulation studies. It is shown that the informative Bayes estimates are consistently more accurate than ML and the non-informative Bayes estimates. Backtesting for the risk measures is performed and goodness-of-fit of Weibull-Pareto among other composite models to the Danish fire data is assessed. © 2019 Taylor & Francis Group, LLC.","Conditional tail expectation; Gamma and inverse-gamma priors; Predictive density; Value at risk; Weibull-Pareto composite model","Risk assessment; Value engineering; Weibull distribution; Composite modeling; Conditional tail expectation; Gamma prior; Predictive density; Value at Risk; Predictive analytics","Article","Final","","Scopus","2-s2.0-85076405405"
"Chandrasekara V.; Tilakaratne C.; Mammadov M.","Chandrasekara, Vasana (55821611900); Tilakaratne, Chandima (56453210500); Mammadov, Musa (15127216400)","55821611900; 56453210500; 15127216400","An improved probabilistic neural network model for directional prediction of a stock market index","2019","Applied Sciences (Switzerland)","9","24","5334","","","","10","10.3390/app9245334","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85077391934&doi=10.3390%2fapp9245334&partnerID=40&md5=7489ba6da11c4cf79372ded4a6ab9622","Financial market prediction attracts immense interest among researchers nowadays due to rapid increase in the investments of financial markets in the last few decades. The stock market is one of the leading financial markets due to importance and interest of many stakeholders. With the development of machine learning techniques, the financial industry thrived with the enhancement of the forecasting ability. Probabilistic neural network (PNN) is a promising machine learning technique which can be used to forecast financial markets with a higher accuracy. A major limitation of PNN is the assumption of Gaussian distribution as the distribution of input variables which is violated with respect to financial data. The main objective of this study is to improve the standard PNN by incorporating a proper multivariate distribution as the joint distribution of input variables and addressing the multi-class imbalanced problem persisting in the directional prediction of the stock market. This model building process is illustrated and tested with daily close prices of three stock market indices: AORD, GSPC and ASPI and related financial market indices. Results proved that scaled t distribution with location, scale and shape parameters can be used as more suitable distribution for financial return series. Global optimization methods are more appropriate to estimate better parameters of multivariate distributions. The global optimization technique used in this study is capable of estimating parameters with considerably high dimensional multivariate distributions. The proposed PNN model, which considers multivariate scaled t distribution as the joint distribution of input variables, exhibits better performance than the standard PNN model. The ensemble technique: multi-class undersampling based bagging (MCUB) was introduced to handle class imbalanced problem in PNNs is capable enough to resolve multi-class imbalanced problem persisting in both standard and proposed PNNs. Final model proposed in the study with proposed PNN and proposed MCUB technique is competent in forecasting the direction of a given stock market index with higher accuracy, which helps stakeholders of stock markets make accurate decisions. © 2019 by the authors.","Directional prediction; Global optimization; Multi-class undersampling based bagging (MCUB); Multivariate distribution; Probabilistic neural network (PNN); Stock market indices","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85077391934"
"Chen Y.-C.; Huang W.-C.","Chen, Yu-Chen (57226536083); Huang, Wen-Chen (55709674600)","57226536083; 55709674600","Constructing a stock-price forecast CNN model with gold and crude oil indicators[Formula presented]","2021","Applied Soft Computing","112","","107760","","","","64","10.1016/j.asoc.2021.107760","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111886797&doi=10.1016%2fj.asoc.2021.107760&partnerID=40&md5=194f5d00359c43aa438f1296112e6a2a","In this study, we propose algorithms to predict future stock market trends based on 8 different input features, including financial technology indicators, gold prices, a gold price volatility index, crude oil price, a crude oil price volatility index, and other characteristic data using two different labeling methods with separate classification algorithms of two and three output categories, respectively including predicted stock price changes (up and down) and recommended trading actions (buy, sell, and hold), and analyze the validity of these characteristic data in terms of their ability to predict future trends. The S&P 500 (GSPC) is the target of these forecasts. Sample data from 2010 to 2018 are divided 8:2, between training and verification data, while data from 2019 are used to test the proposed approach. CNN and LSTM models are used for comparison of classification accuracy and investment returns, respectively. Bayesian optimization (BO) hyperparameters are used to improve the accuracy of the model and increase the return on investment (ROI) of the output predictions. The purpose of this study is to verify whether using gold prices, a gold volatility index, crude oil price, and a crude oil price volatility indices as input features can enable a deep learning model accurately to predict future stock price trends, and to discuss separately the applicability of CNN and LSTM models to the abovementioned characteristics and financial indicators. We also present the results of experiments conducted to evaluate the proposed method in terms of classification accuracy and confusion matrix. In the case of three-category classification, the model takes feature data as input to outputs a predicted trading order on whether to buy, sell, or hold a given set of stocks tomorrow as well as the timing of entry and exit from each position, and also backtests the data outside the sample to find the combination of characteristics and indicators best maximizing ROI. Using this three-category method, we obtain a comprehensive ROI for a given set of individual stocks and assess whether each type of stock is suitable for the prediction model based on input features such as gold and crude oil or the fields that are suitable for the given feature. Experimental results show that the proposed approach as able to predict whether stock price will rise or fall in the next 10 days, and the model accuracy rate can reach 67%. The results of experiments on the proposed combined CNN model with eight features, referred to as CNN8, achieved an ROI on 2019 data outside the sample period of up to 13.23%, which was superior to the 12.08% and 11.06% obtained by the models designed CNN4 (CNN with four input features) and LSTM8(LSTM with eight input features), respectively. The F1 score increased from 0.75 0.79 as a result of applying BO. The results indicate that considering the price of gold, the gold volatility index, crude oil price, and crude oil price volatility index can help obtain better ROI for companies in certain fields, such as the semiconductor, petroleum, and automotive industries, rather than merely considering financial indicators. However, for companies related to apparel, fast food, and copy processing, the input characteristics of purely financial technical indicators were found to be suitable. © 2021 Elsevier B.V.","Bayesian optimization; Convolutional neural networks; Deep learning; Long short-term memory; Stock price forecast","Classification (of information); Commerce; Costs; Deep learning; Electronic trading; Gold; Investments; Long short-term memory; Oils and fats; Petroleum analysis; Petroleum industry; Predictive analytics; Technological forecasting; Bayesian optimization; Classification accuracy; Classification algorithm; Confusion matrices; Financial indicator; Oil price volatility; Stock price forecasts; Technical indicator; Crude oil price","Article","Final","","Scopus","2-s2.0-85111886797"
"Khedmati M.; Seifi F.; Azizi M.J.","Khedmati, M. (53863407600); Seifi, F. (57208340827); Azizi, M.J. (57202516153)","53863407600; 57208340827; 57202516153","Time series forecasting of bitcoin price based on autoregressive integrated moving average and machine learning approaches","2020","International Journal of Engineering, Transactions A: Basics","33","7","","1293","1303","10","16","10.5829/ije.2020.33.07a.16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089415941&doi=10.5829%2fije.2020.33.07a.16&partnerID=40&md5=7ea1db24d06767a63b4bc7f2cb2c846e","Bitcoin as the current leader in cryptocurrencies is a new asset class receiving significant attention in the financial and investment community and presents an interesting time series prediction problem. In this paper, some forecasting models based on classical like ARIMA and machine learning approaches including Kriging, Artificial Neural Network (ANN), Bayesian method, Support Vector Machine (SVM) and Random Forest (RF) are proposed and analyzed for modelling and forecasting the Bitcoin price. While some of the proposed models are univariate, the other models are multivariate and as a result, the maximum, minimum and the opening daily price of Bitcoin are also used in these models. The proposed models are applied on the Bitcoin price from December 18, 2019 to March 1, 2020 and their performances are compared in terms of the performance measures of RMSE and MAPE by Diebold- Mariano statistical test. Based on RMSE and MAPE measures, the results show that SVM provides the best performance among all the models. In addition, ARIMA and Bayesian approaches outperform other univariate models where they provide smaller values for RMSE and MAPE. © 2020 Materials and Energy Research Center. All rights reserved.","Bitcoin; Machine learning; Multivariate models; Time series forecasting","Autoregressive moving average model; Bayesian networks; Bitcoin; Decision trees; Forecasting; Support vector machines; Time series; Auto-regressive integrated moving average; Bayesian approaches; Investment community; Machine learning approaches; Modelling and forecasting; Performance measure; Time series forecasting; Time series prediction; Learning systems","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85089415941"
"Zhang M.; Jiang X.; Fang Z.; Zeng Y.; Xu K.","Zhang, Mengqi (57204575067); Jiang, Xin (57191283508); Fang, Zehua (57225694448); Zeng, Yue (57204571910); Xu, Ke (56799555700)","57204575067; 57191283508; 57225694448; 57204571910; 56799555700","High-order Hidden Markov Model for trend prediction in financial time series","2019","Physica A: Statistical Mechanics and its Applications","517","","","1","12","11","56","10.1016/j.physa.2018.10.053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056213871&doi=10.1016%2fj.physa.2018.10.053&partnerID=40&md5=e5332d4b50b1b3cdc44c34eff8aacd1e","Financial price series trend prediction is an essential problem which has been discussed extensively using tools and techniques of economic physics and machine learning. Time dependence and volatility issues in this problem have made Hidden Markov Model (HMM) a useful tool in predicting the states of stock market. In this paper, we present an approach to predict the stock market price trend based on high-order HMM. Different from the commonly used first-order HMM, short and long-term time dependence are both considered in the high order HMM. By introducing a dimension reduction method which could transform the high-dimensional state vector of high-order HMM into a single one, we present a dynamic high-order HMM trading strategy to predict and trade CSI 300 and S&P 500 stock index for the next day given historical data. In our approach, we make a statistic of the daily returns in the history to demonstrate the relationship between hidden states and the price change trend. Experiments on CSI 300 and S&P 500 index illustrate that high-order HMM has preferable ability to identify market price trend than first-order one. Thus, the high-order HMM has higher accuracy and lower risk than the first-order model in predicting the index price trend. © 2018 Elsevier B.V.","High-order HMM; Trading algorithm; Trend prediction","Commerce; Electronic trading; Financial markets; Forecasting; Dimension reduction method; Essential problems; Financial time series; First-order models; High-order; Stock market prices; Tools and techniques; Trend prediction; Hidden Markov models","Article","Final","","Scopus","2-s2.0-85056213871"
"Chen X.; Tian Y.","Chen, Xiurong (57195596099); Tian, Yixiang (55480203500)","57195596099; 55480203500","The big data mining forecasting model based on combination of improved manifold learning and deep learning","2019","International Journal of Grid and Utility Computing","10","2","","119","131","12","1","10.1504/IJGUC.2019.098213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062778036&doi=10.1504%2fIJGUC.2019.098213&partnerID=40&md5=c3620ee57b557df106ccfad94cc736a1","In this paper, we use the combination of Local Linear Embedding (LLE) with Continuous Deep Belief Networks (CDBN) as the input of RBF, and construct a mixed-feature RBF model. However, LLE depends too much on the local domain which is not easy to be determined, so we propose a new method, Kernel Entropy Linear Embedding (KELE) which uses Kernel Entropy Component Analysis (KECA) to transfer the non-linear problem into linear problem. CDBN has the difficulty in confirming network structure and lacks supervision, so we improve the situations by using the kernel entropy information obtained from KECA, which is called KECDBN. In the empirical part, we use the foreign exchange rate time series to examine the effects of the improved methods, and results show that both the KELE and the KECDBN show better effects in reducing dimensionality and extracting features, respectively, an also improve the prediction accuracy of the mixed-feature RBF. Copyright © 2019 Inderscience Enterprises Ltd.","CDBN; Continuous deep belief network; KECA; KECDBN; KELE; Kernel entropy component analysis; Kernel entropy continuous deep belief network; Kernel entropy linear embedding; LLE; Local linear embedding","Bayesian networks; Big data; Data mining; Embeddings; Entropy; CDBN; Component analysis; Deep belief networks; KECA; KECDBN; KELE; Linear embedding; Local Linear Embedding; Deep learning","Article","Final","","Scopus","2-s2.0-85062778036"
"Xing F.Z.; Cambria E.; Zhang Y.","Xing, Frank Z. (57196019442); Cambria, Erik (56140547500); Zhang, Yue (56066648800)","57196019442; 56140547500; 56066648800","Sentiment-aware volatility forecasting","2019","Knowledge-Based Systems","176","","","68","76","8","57","10.1016/j.knosys.2019.03.029","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063733190&doi=10.1016%2fj.knosys.2019.03.029&partnerID=40&md5=76fd451e919da1400fbff4fcdb82e3cb","Recent advances in the integration of deep recurrent neural networks and statistical inferences have paved new avenues for joint modeling of moments of random variables, which is highly useful for signal processing, time series analysis, and financial forecasting. However, introducing explicit knowledge as exogenous variables has received little attention. In this paper, we propose a novel model termed sentiment-aware volatility forecasting (SAVING), which incorporates market sentiment for stock return fluctuation prediction. Our framework provides an ensemble of symbolic and sub-symbolic AI approaches, that is, including grounded knowledge into a connectionist neural network. The model aims at producing a more accurate estimation of temporal variances of asset returns by better capturing the bi-directional interaction between movements of asset price and market sentiment. The interaction is modeled using Variational Bayes via the data generation and inference operations. We benchmark our model with 9 other popular ones in terms of the likelihood of forecasts given the observed sequence. Experimental results suggest that our model not only outperforms pure statistical models, e.g., GARCH and its variants, Gaussian-process volatility model, but also outperforms the state-of-the-art autoregressive deep neural nets architectures, such as the variational recurrent neural network and the neural stochastic volatility model. © 2019 Elsevier B.V.","Financial text mining; Sentiment knowledge; Time series analysis; Variational neural networks; Volatility modeling","Commerce; Data mining; Deep neural networks; Economic analysis; Forecasting; Harmonic analysis; Investments; Recurrent neural networks; Signal processing; Stochastic systems; Time series analysis; Bi-directional interaction; Financial forecasting; Financial text minings; Sentiment knowledge; Statistical inference; Stochastic Volatility Model; Volatility forecasting; Volatility modeling; Stochastic models","Article","Final","","Scopus","2-s2.0-85063733190"
"Dixon M.","Dixon, Matthew (55982004900)","55982004900","Industrial Forecasting with Exponentially Smoothed Recurrent Neural Networks","2022","Technometrics","64","1","","114","124","10","4","10.1080/00401706.2021.1921035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108184664&doi=10.1080%2f00401706.2021.1921035&partnerID=40&md5=991767bcf2cec5c942fecbaad78d5cf9","Time series modeling has entered an era of unprecedented growth in the size and complexity of data which require new modeling approaches. While many new general purpose machine learning approaches have emerged, they remain poorly understand and irreconcilable with more traditional statistical modeling approaches. We present a general class of exponential smoothed recurrent neural networks (RNNs) which are well suited to modeling nonstationary dynamical systems arising in industrial applications. In particular, we analyze their capacity to characterize the nonlinear partial autocorrelation structure of time series and directly capture dynamic effects such as seasonality and trends. Application of exponentially smoothed RNNs to forecasting electricity load, weather data, and stock prices highlight the efficacy of exponential smoothing of the hidden state for multistep time series forecasting. The results also suggest that popular, but more complicated neural network architectures originally designed for speech processing are likely over-engineered for industrial forecasting and light-weight exponentially smoothed architectures, trained in a fraction of the time, capture the salient features while being superior and more robust than simple RNNs and autoregressive models. Additionally, uncertainty quantification of Bayesian exponential smoothed RNNs is shown to provide improved coverage. © 2021 American Statistical Association and the American Society for Quality.","Exponential smoothing; Forecasting; Nonstationarity; Partial autocorrelations; Quantification; Uncertainty","Dynamical systems; Electric load forecasting; Electronic trading; Forecasting; Network architecture; Speech processing; Time series; Auto regressive models; Forecasting electricity; Machine learning approaches; Non-stationary dynamical systems; Partial autocorrelation; Recurrent neural network (RNNs); Time series forecasting; Uncertainty quantifications; Recurrent neural networks","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85108184664"
"Su Z.; Yi B.","Su, Zhi (57191838693); Yi, Bo (57547140600)","57191838693; 57547140600","Research on HMM-Based Efficient Stock Price Prediction","2022","Mobile Information Systems","2022","","8124149","","","","10","10.1155/2022/8124149","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126919166&doi=10.1155%2f2022%2f8124149&partnerID=40&md5=2f4d58c8ba7553c714957228786a853b","Stock market is one of the most important parts of the investment market. Compared with other industries, the stock market not only has a higher rate of return on investment but also has a higher risk, and stock price prediction has always been a close concern of investors. Therefore, the research on stock price prediction methods and how to reduce the error of stock price prediction has become a hot topic for many scholars at home and abroad. In recent years, the development of computer technology such as machine learning and econometric method makes the stock price prediction more reliable. Due to the hidden Markov nature of stock price, this paper proposes a stock price prediction method based on hidden Markov model (HMM). To be specific, since the data of stock price have continuity in time series, it is necessary to extend the discrete HMM to the continuous HMM, and then put forward the up and down trend prediction model based on the continuous HMM. The first-order continuous HMM is extended to the second-order continuous HMM, and the stock price is predicted by combining the prediction method of fluctuation range. As a result, the proposed second-order continuous HMM-based stock price prediction model is simulated on Hang Seng Index (HSI), one of the earliest stock market indexes in Hong Kong. The evaluation results on six months HSI show that the predicted value of the proposed model is very close to the actual value and outperforms three benchmarks in terms of RMSE, MAE, and R2. © 2022 Zhi Su and Bo Yi.","","Commerce; Earnings; Forecasting; Hidden Markov models; Investments; Continuous hidden Markov model; Hidden-Markov models; High rate; Investment market; Model-based OPC; Prediction methods; Rate of return; Second orders; Stock price; Stock price prediction; Financial markets","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85126919166"
"Huang S.-C.; Chiou C.-C.; Chiang J.-T.; Wu C.-F.","Huang, Shian-Chang (15044616100); Chiou, Chei-Chang (23097250700); Chiang, Jui-Te (57209208445); Wu, Cheng-Feng (57204839262)","15044616100; 23097250700; 57209208445; 57204839262","Online sequential pattern mining and association discovery by advanced artificial intelligence and machine learning techniques","2020","Soft Computing","24","11","","8021","8039","18","6","10.1007/s00500-019-04100-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85066863977&doi=10.1007%2fs00500-019-04100-5&partnerID=40&md5=80ed387bf51718230ffc42e1167e7de9","With the advances in information science, vast amounts of financial time series data can been collected and analyzed. In modern time series analysis, sequential pattern mining (SPM) and association discovery (AD) are the most important techniques to predict the future trends. This study aims at developing advanced SPM and AD for financial data by cutting edge techniques from artificial intelligence and machine learning. The nonlinearity and non-stationarity of financial time series dynamics pose a major challenge for SPM and AD. This study employs time–frequency analysis to extract features for SPM. Then, a sparse multi-manifold clustering (SMMC) is used to partition the feature space into several disjointed regions for better AD. Finally, local relevance vector machines (RVMs) are employed for AD and perform the forecasting. Different from traditional methods, the novel forecasting system operates on multiple resolutions and multiple dynamic regimes. SMMC finds both the neighbors and the weights automatically by a sparse solution, which approximately spans a low-dimensional affine subspace at that point. RVM, the Bayesian kernel machines, can produce parsimonious models with excellent generalization properties. Taking multiple time series data from financial markets as an example, the empirical results demonstrate that the proposed model outperforms traditional models and significantly reduces the forecasting errors. The framework is effective and suitable for other time series forecasting. © 2019, Springer-Verlag GmbH Germany, part of Springer Nature.","Kernel machine; Local modeling; Manifold clustering; Multi-scale representation; Time–frequency analysis","Data mining; E-learning; Electronic trading; Finance; Forecasting; Machine learning; Frequency Analysis; Kernel machine; Local model; Manifold clustering; Multiscale representations; Time series analysis","Article","Final","","Scopus","2-s2.0-85066863977"
"Pandey T.N.; Jagadev A.K.; Dehuri S.; Cho S.-B.","Pandey, Trilok Nath (57201073039); Jagadev, Alok Kumar (26325488100); Dehuri, Satchidananda (55890604700); Cho, Sung-Bae (7404884741)","57201073039; 26325488100; 55890604700; 7404884741","A review and empirical analysis of neural networks based exchange rate prediction","2019","Intelligent Decision Technologies","12","4","","423","439","16","8","10.3233/IDT-180346","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060013629&doi=10.3233%2fIDT-180346&partnerID=40&md5=64fce96ac8371b8055ce7ff97769bb34","Financial time series data is very chaotic, noisy, fluctuating and nonlinear as different events have occurred in various time periods. Therefore, it is very challenging for researchers to develop the accurate predictive model. Prediction for Foreign Exchange rate is also a very crucial task for N days ahead prediction because of volatile nature of Foreign Exchange rate data. It is also become highly desirable due to it's role in financial and managerial decision making capacity of any country. A lot of efforts have been done by researchers over many years for the development of efficient models to improve the forecasting accuracy. As a result, various important time series forecasting models have been evolved in literature. From the literature survey we have analyzed that statistical techniques are not able to efficiently predict the Foreign Exchange rate. Hence, different machine learning techniques have been used by many researchers for accurate prediction. Over the years different types of neural network models such as multi - layer perceptron, radial basis function neural network, functional link artificial neural network and integrated model such as auto - regressive integrated moving average models are developed to predict the currency exchange rates of different countries with varying parameters. In this paper, we divide our effort into two parts. In the first part, we have reviewed a few selected models based on neural networks and statistical methods including fundamental and technical aspects of currency exchange rate prediction. In the second part, we have made a thorough and careful empirical study of the models reviewed in part one. Our study reveals that the daily currency exchange rates with multi - layer neural network having Bayesian learning technique produces more accurate results against the multi - layer neural network with back propagation learning technique. Similarly, integrated models of radial basis function neural network and functional link neural networks produce less amount of error in comparison to single radial basis neural networks and functional link neural network models. Additionally, we critically analyze an integrated work on statistical model such as auto-regressive integrated moving average model with neural networks and revealed that the integrated models produces better results than the individual models. © 2018 - IOS Press and the authors. All rights reserved.","autoregressive integrated moving average; Bayesian learning; cascaded functional link artificial neural networks; currency exchange rate; Foreign exchange rate; functional link artificial neural network; multilayer perceptron; neural network; radial basis function network","Backpropagation; Bayesian networks; Decision making; Economics; Electronic trading; Finance; Forecasting; Functions; Learning algorithms; Network layers; Neural networks; Radial basis function networks; Time series; Time series analysis; Auto-regressive integrated moving average; Bayesian learning; Cascaded functional link artificial neural networks; Currency exchange rates; Foreign exchange rates; Functional link artificial neural networks; Multilayer neural networks","Review","Final","","Scopus","2-s2.0-85060013629"
